norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
59510,SUPERVIEW NEO-3 01,PAYLOAD,Other,497.56393380773625,Very Low LEO,LEO-Polar,HIGH,97.4347,0.0002213,2023,0,<1yr,15.22745394,2025-11-11 07:29:40.780320,celestrak,2025-11-11,PRC,2025-11-11
59511,STARLINK-31635,PAYLOAD,Starlink Gen 1,483.00596861506165,Very Low LEO,LEO-Equatorial,HIGH,42.9978,0.00011836,2023,0,<1yr,15.27594403,2025-11-11 05:35:52.679904,celestrak,2025-11-11,US,2025-11-11
59512,STARLINK-31650,PAYLOAD,Starlink Gen 1,483.023599184834,Very Low LEO,LEO-Equatorial,HIGH,43.0037,0.00016013,2023,0,<1yr,15.27588515,2025-11-11 06:27:40.873248,celestrak,2025-11-11,US,2025-11-11
59513,STARLINK-31658,PAYLOAD,Starlink Gen 1,483.029141698833,Very Low LEO,LEO-Equatorial,HIGH,43.0024,0.0001702,2023,0,<1yr,15.27586664,2025-11-11 03:59:40.555104,celestrak,2025-11-11,US,2025-11-11
59515,STARLINK-31669,PAYLOAD,Starlink Gen 1,483.14836984382964,Very Low LEO,LEO-Equatorial,HIGH,43.0013,0.00011206,2023,0,<1yr,15.27546847,2025-11-11 05:50:42.855648,celestrak,2025-11-11,US,2025-11-11
59516,STARLINK-31671,PAYLOAD,Starlink Gen 1,483.02438070557855,Very Low LEO,LEO-Equatorial,HIGH,43.0027,0.00011942,2023,0,<1yr,15.27588254,2025-11-11 05:08:20.001696,celestrak,2025-11-11,US,2025-11-11
59517,STARLINK-31674,PAYLOAD,Starlink Gen 1,483.0732696123614,Very Low LEO,LEO-Equatorial,HIGH,43.0017,2.432e-05,2023,0,<1yr,15.27571927,2025-11-11 06:07:20.534592,celestrak,2025-11-11,US,2025-11-11
59519,STARLINK-31679,PAYLOAD,Starlink Gen 1,482.9643060644694,Very Low LEO,LEO-Equatorial,HIGH,43.0025,0.00015548,2023,0,<1yr,15.27608317,2025-11-11 05:56:27.950208,celestrak,2025-11-11,US,2025-11-11
59520,STARLINK-31370,PAYLOAD,Starlink Gen 1,483.0376276657789,Very Low LEO,LEO-Equatorial,HIGH,43.003,8.119e-05,2023,0,<1yr,15.2758383,2025-11-11 06:38:47.477760,celestrak,2025-11-11,US,2025-11-11
59521,STARLINK-31404,PAYLOAD,Starlink Gen 1,482.98845793028886,Very Low LEO,LEO-Equatorial,HIGH,43.0011,4.151e-05,2023,0,<1yr,15.27600251,2025-11-11 05:19:25.270464,celestrak,2025-11-11,US,2025-11-11
